userID,songID,rating
0,90409,5
4,91266,1
5,8063,2
5,24427,4
5,105433,4
7,134732,3
14,105421,3
20,19670,1
31,79622,1
33,86341,4
40,131048,5
46,72017,5
49,42906,1
53,54042,4
53,55622,1
55,119103,2
57,105433,5
58,105433,5
59,68572,5
66,112023,4
68,60465,1
73,71582,4
73,74640,4
80,28985,5
80,55622,5
83,22763,1
85,43267,4
92,54042,1
97,113954,5
103,52611,4
107,126757,5
109,55240,5
109,92881,3
110,68572,4
110,71582,5
113,126757,5
114,16548,4
115,62954,1
118,72017,1
120,112023,4
122,60465,1
122,60888,1
131,92881,5
134,54042,3
137,8063,2
142,40712,5
145,92881,5
151,56660,1
152,13859,5
152,24427,5
154,8063,5
154,72309,5
161,13859,3
161,54042,4
161,60465,5
161,90409,5
162,48731,3
166,2726,2
166,86341,5
166,119103,1
167,19299,5
173,60465,5
178,22763,3
178,62954,5
183,134732,1
184,60888,1
189,22763,1
193,56660,3
193,68572,1
193,134732,3
194,72017,5
197,36561,5
199,12709,5
199,43827,2
199,105421,2
204,62954,5
208,2263,5
214,43827,5
226,17029,5
226,28985,4
231,2726,5
238,13859,5
247,43267,3
254,24427,3
254,42781,3
264,112023,4
272,68572,4
274,55240,5
277,125557,2
280,42906,2
280,43267,1
285,134732,3
288,45026,5
288,105433,4
290,45934,2
291,48731,4
294,42906,3
294,86341,5
299,24427,1
303,54042,4
303,91266,2
307,2726,5
314,25182,5
316,2726,4
316,43267,2
316,86341,5
319,55240,5
326,48731,3
329,60888,2
329,68572,5
329,94604,5
333,94535,1
340,92881,5
341,60465,1
347,74640,5
348,2726,5
349,42781,3
350,36561,3
351,2726,2
353,45026,1
360,72309,5
362,112023,5
364,22763,4
364,132189,5
372,55622,2
375,17029,5
375,72017,5
388,24427,1
388,86341,2
391,2726,1
391,42781,3
391,62954,4
407,105433,4
412,17029,2
412,72309,1
415,74640,5
416,40712,5
419,126757,5
425,17029,1
425,119103,1
427,123176,1
429,22763,4
441,2726,1
441,25182,5
442,126757,1
445,48731,3
445,94604,1
446,22763,5
446,55622,2
457,25182,2
457,55622,1
457,105421,1
459,52611,5
460,86341,5
460,134732,5
466,22763,2
466,25182,5
466,68572,4
466,90409,3
467,8063,4
467,56660,5
467,123176,4
473,2726,3
474,62954,5
479,3785,5
486,13859,5
486,126757,5
487,122065,5
501,74640,3
503,22763,3
507,3785,4
507,24427,5
509,8063,5
509,86341,5
510,2726,1
511,112023,1
514,72017,1
519,126757,5
523,122065,5
535,55240,5
536,72017,2
542,24427,5
542,125557,5
543,105433,2
545,24427,2
545,86341,1
549,12709,4
549,19299,4
549,42906,5
549,68572,5
549,123176,5
560,55240,1
560,91266,1
561,16548,5
561,60888,5
561,79622,5
575,71582,5
579,2263,5
580,45934,5
581,62954,1
582,17029,4
582,119103,3
583,2726,4
587,90409,5
587,134732,5
594,122065,5
595,2263,5
597,36561,4
599,22763,4
600,79622,3
606,48731,5
609,12709,3
609,28985,3
613,86341,4
615,112023,3
631,56660,3
635,19299,3
635,68572,5
636,60465,5
637,52611,5
641,74640,4
643,54042,2
650,8063,1
650,13859,5
650,123176,1
659,48731,4
661,24427,5
663,86341,5
664,126757,3
670,2726,5
678,71582,5
682,62954,1
683,48731,4
686,2726,3
691,56660,3
695,54042,1
695,56660,5
695,90409,5
695,94604,3
700,91266,4
707,24427,1
717,43827,5
717,62954,5
717,132189,5
722,48731,3
722,72017,4
723,25182,1
727,52611,5
728,36561,4
733,17029,1
735,86341,4
736,12709,2
737,60888,1
739,60465,4
742,72017,4
743,62954,5
745,72309,1
749,8063,5
749,19299,3
749,54042,2
750,60888,4
753,48731,3
754,125557,3
755,43827,2
755,91266,3
757,105421,4
757,134732,3
759,45934,5
769,94535,5
770,60888,1
771,43827,5
771,105433,4
774,68572,1
775,55240,4
781,72309,1
786,120147,1
792,8063,5
792,56660,5
799,55240,4
800,92881,2
805,3785,5
806,12709,2
806,132189,4
807,122065,4
815,28985,5
815,72017,5
820,16548,4
829,24427,2
830,22763,1
831,119103,5
834,13859,5
834,74640,5
836,74640,5
836,113954,5
837,3785,5
840,42906,5
840,54042,3
841,113954,1
843,2263,5
845,45026,5
847,16548,4
847,36561,5
847,43267,5
854,28985,4
860,71582,4
865,122065,1
866,54042,1
871,16548,5
873,134732,5
877,113954,4
877,120147,5
881,43827,3
887,22763,1
